,RM,TAX,PTRATIO,LSTAT
477,5.304,666,20.2,24.91
15,5.834,307,21.0,8.47
332,6.031,304,16.9,7.83
423,6.103,666,20.2,23.29
19,5.727,307,21.0,11.28
325,6.431,287,19.6,5.08
335,6.037,224,20.2,8.01
56,6.383,313,17.3,5.77
437,6.152,666,20.2,26.45
409,6.852,666,20.2,19.78
334,6.31,224,20.2,6.75
181,6.144,193,17.8,9.45
227,7.163,307,17.4,6.36
434,6.208,666,20.2,15.17
180,7.765,193,17.8,7.56
25,5.599,307,21.0,16.51
493,5.707,391,19.2,12.01
238,6.481,300,16.6,6.36
244,5.593,330,19.1,12.5
250,6.487,330,19.1,5.9
418,5.957,666,20.2,20.62
117,6.021,432,17.8,10.3
42,6.169,233,17.9,5.81
322,6.041,287,19.6,7.7
347,6.516,351,17.9,6.36
182,7.155,193,17.8,4.82
155,6.152,403,14.7,15.02
280,7.82,216,14.9,3.76
126,5.613,188,19.1,27.26
329,6.333,430,16.9,7.34
31,6.072,307,21.0,13.04
113,6.092,432,17.8,17.09
148,5.186,403,14.7,28.32
432,6.425,666,20.2,12.03
338,6.059,224,20.2,8.51
57,6.816,256,15.1,3.95
194,6.604,265,15.6,4.38
24,5.924,307,21.0,16.3
17,5.99,307,21.0,14.67
298,6.345,358,14.8,4.97
66,5.787,337,16.1,10.24
211,5.404,277,18.6,23.98
404,5.531,666,20.2,27.38
94,6.249,270,18.2,10.59
154,6.129,403,14.7,15.12
441,6.406,666,20.2,
23,5.813,307,21.0,19.88
225,8.725,307,17.4,4.63
433,6.436,666,20.2,16.22
447,6.251,666,20.2,16.44
5,6.43,222,18.7,5.21
116,6.176,432,17.8,
45,5.682,233,17.9,10.21
16,5.935,307,21.0,6.58
468,5.926,666,20.2,18.13
360,6.398,666,20.2,7.79
3,6.998,222,18.7,2.94
405,5.683,666,20.2,22.98
185,6.153,193,17.8,13.15
60,5.741,284,19.7,13.15
110,6.195,384,20.9,13.0
321,6.376,287,19.6,6.87
265,5.56,264,13.0,10.45
29,6.674,307,21.0,11.98
262,8.398,264,13.0,5.91
478,6.185,666,20.2,18.03
26,5.813,307,21.0,14.81
7,6.172,311,15.2,19.15
492,5.983,711,20.1,13.35
108,6.474,384,20.9,12.27
37,5.85,279,19.2,8.77
157,6.943,403,14.7,4.59
472,6.437,666,20.2,14.36
118,5.872,432,17.8,15.37
114,6.254,432,17.8,10.45
175,6.546,296,16.6,5.33
192,7.178,398,15.2,2.87
272,6.538,223,18.6,7.73
144,4.903,403,14.7,29.29
373,4.906,666,20.2,34.77
383,5.52,666,20.2,
356,6.212,666,20.2,17.6
277,6.826,254,17.6,
220,6.951,307,17.4,9.71
450,6.749,666,20.2,17.44
141,5.019,437,21.2,34.41
369,6.683,666,20.2,3.73
67,5.878,345,18.9,8.1
361,6.251,666,20.2,14.19
168,6.319,403,14.7,11.1
499,5.569,391,19.2,15.1
394,5.887,666,20.2,16.35
400,5.987,666,20.2,26.77
193,6.8,265,15.6,5.03
249,6.718,330,19.1,6.56
109,6.229,384,20.9,15.55
420,6.411,666,20.2,15.02
145,6.13,403,14.7,27.8
92,6.442,270,18.2,8.16
